,date,description,lat,lng,place
0,6/23/2009,"Victim was inside a building bundling material and became ill, possible heat stroke.",27.994928,-82.400987,"L.B. Thompson Inc., Tampa, FL 33610"
1,6/30/2009,Victim was on a scaffold doing repairs on an archway and the scaffold collapsed.,30.3315253,-95.509247,"Presiliana Zamora, Conroe, TX 77304"
2,7/6/2009,"Victim was conducting roofing work, and fell through a hole in the roof, 25 feet to the concrete floor below.",25.8235041,-80.3101684,"Cesar Tapia, Miami, FL 33166"
3,7/9/2009,Victim was climbing a ladder while servicing an air-conditioning unit and fell from the ladder.,41.1429537,-100.7909899,"Knobel Refrigeration, Inc., North Platte, NE 69103"
4,7/11/2009,"Employees were throwing away old files. They had a dumpster on the forks in the raised position. In bringing the dumpster down on the forks, the load became unstable. Victim stood on the rear of the forklift to act as a counterbalance. The dumpster fell off the trucs, causing forktruck to lunge forward and the victim to strike his head on the overhead guard, falling to the ground.",40.3014581,-79.5389289,"Greensburg, PA 15601"
5,7/11/2009,Fatality at a bookstore under construction.,40.04065060000001,-105.2077798,"Lighthouse Electric, Boulder, CO 80301"
6,7/15/2009,"Victim was pressure testing a new metering station at a new pipeline construction project, when an explosion occurred.",32.033488,-89.52229109999999,"Priority Energy Services, LLC, Raleigh, MS 39153"
7,7/16/2009,Victim was standing on the side of the road and was struck by a car.,33.8821589,-84.5277421,"KM Davis Contracting Co., Inc., Marietta, GA 30008"
8,7/18/2009,"Victim was working on a pole replacing a transformer, 14,400KV, and was electrocuted.",33.1910445,-101.3756533,"Jenkins Electric, Post, TX 79356"
9,7/18/2009,Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.,33.5087256,-94.61631899999999,"Lariat Communications, De Kalb, TX 75559"
10,7/18/2009,Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.,37.683359,-97.077559,"Larry Walty Roofing and Guttering, Inc,, Wichita, KS 67208"
11,7/18/2009,Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.,41.9866138,-98.13309,"Newohmer Brothers Feed Lot, Elgin, NE 68636"
12,7/20/2009,"Victim was in the process of assembling a transition box, while removing the brace the box collapsed, crushing him.",33.928402,-86.48487639999999,"Art Iron Works, Inc., Onconta, AL 35121"
13,7/21/2009,Victim was installing an overhead garage door. He was using a truck-mounted generator/welder to generate power for his tools. He was found unresponsive in the bed of the truck. Victim was electrocuted.,35.386612,-94.4217199,"Fort Smith Garage Doors, Kibler, AR 72921"
14,7/21/2009,"Victim was working under a disabled truck, disconnecting the drive shaft. The vehicle fell, crushing him.",29.253303,-81.04840999999999,"SES Welding, LLC, Holly Bill, FL 32117"
15,7/22/2009,"Victim was repairing a tote at the end of the line. The top tote fell over, crushing the victim.",36.205147,-94.428061,"Allens Inc,, Siloam Springs, AR 72761"
16,7/22/2009,Victim was working from the raised bucket of an aerial device. The boom and bucket fell to the ground.,40.6634699,-73.56334199999999,"Howie's Tree Services, Merrick, NY 11566"
17,7/23/2009,Victim was on top of a railcar carrying elemental sulfur and was found unresponsive.,30.0441989,-94.1156211,"Martin Product Sales, LLC, Beaumont, TX 77705"
18,7/24/2009,Victim was working from a raised forklift and fell to the ground.,40.6523845,-73.5593438,"Green Contractors of NY, Merrick NY 11566"
19,5/15/2009,Worker was replacing a breaker in a main panel at a saw mill and an arc blast occurred.,31.701254,-83.246291,"Alvin Wynn Electric Company, Alapaha, GA�31622"
20,7/1/2009,Worker was putting away a piece of lawn equipment and was stung twice by insects.,28.6273311,-81.7687658,"Lakeridge Winery, Clermont, FL�34711"
21,7/10/2009,"Worker was found on the ground with hot work gloves lying next to him, apparently electrocuted.",28.0277033,-82.4998463,"Mandy Electric, Inc., Tampa, FL�33610"
22,7/17/2009,Worker fell from a roof.,41.1264849,-73.71401949999999,"Arthur Vincent & Sons Construction Inc, Armonk, NY�10504"
23,7/20/2009,"Worker was in the process of loosening straps on a load of pipe located on a flatbed trailer.� The load shifted, causing the pipe to fall and strike the worker.",35.938443,-84.546261,"W.W. Transport, Inc., Harriman, TN� 37748"
24,7/22/2009,"Worker was 12-feet high removing a roof truss and fell, striking his head on the front door concrete patio below.",30.2966026,-97.9701846,"Antonio Renteria Framing, Austin, TX� 78738"
25,7/22/2009,Worker was working with an overhead crane and a bundle of 7-8 slabs of granite.� The slabs tipped over on the worker.,41.8962813,-87.7010399,"International Marble & Granite Supply, Inc., Chicago, IL� 60622"
26,7/23/2009,"Worker was on the roof of a modular home being placed on pilings.� Lightning struck the roof, electrocuting the worker.",29.730441,-93.8725089,"T.T.C.S., LLC, Sabine Pass, TX� 77655"
27,7/23/2009,Worker was crushed in a chip grinder.,40.251462,-74.491462,"Timberwolf Tree Service, Inc., East Windsor, NJ� 08520"
28,7/24/2009,Worker was caught between the bucket of a backhoe and a wooden deck attached to a building.,39.82494000000001,-75.29272999999999,"Charles McCarten & Son, Inc., Gibbstown, NJ� 08027"
29,7/25/2009,"Worker was working in the kitchen near the back sink.� She slipped and fell in a wet spot, striking her head on the floor.",39.6371444,-84.223967,"Wenday South dba Wendy's, Dayton, OH� 45459"
30,7/26/2009,Worker was in an aerial lift pressure washing a building and was electrocuted after the lift contacted an overhead powerline.,26.301116,-80.151336,"Hardrives Asphalt Company, Deerfield Beach, FL"
31,7/26/2009,Worker was electrocuted.,30.6324149,-87.03968809999999,"Pyi Dell Gei a Services JV, Milton, FL"
32,7/26/2009,Worker was removing trim from a window and fell 30 feet from a ladder.,42.4626167,-88.2541506,"Williams Custom Carpentry, Inc., Lake Forest, IL� 60045"
33,7/27/2009,"Worker was performing work on the forks of a forklift truck.� The forks fell, striking the worker on the head.",32.9372415,-97.631613,"Davids Patio LTD, Springtown, TX� 76082"
34,7/27/2009,"Employees were using a dozer to try and get an overturned all-terrain forklift back on its wheels.� They attached a synthetic strap with a shackle to pull the forklift and turn it upright.� The eye of the strap broke, striking the worker, who was in the cab.",34.1609503,-91.89038819999999,"Jensen Construction Company, Pine Bluff, AR� 71601"
35,7/27/2009,Worker was working on a bucket truck repairing an exterior light fixture and fell 25 feet to the ground below.,37.726093,-97.317072,"Light Bulbs, Etc., Wichita, KS� 67219"
36,7/28/2009,"An explosion occurred, three employees were hospitalized.",39.2572613,-82.4294238,"Austin Powder Company, McArthur, OH� 45651"
37,7/28/2009,Worker and another employee were closing a tap while clearing a branch from a downed powerline.� Worker was electrocuted.,30.99011029999999,-93.2819804,"Cleco Power LLC, Leesville, LA� 71446"
38,7/28/2009,"While clearing a branch from a downed powerline.� Worker was electrocuted, and died after being hospitalized.",30.8267878,-93.2949166,"EK Construction, De Ridder, LA� 70634"
39,7/28/2009,Worker was crushed by a tree that was being pulled down and back cut.,39.872091,-75.575492,"Martin's Tree Service, Chadds Ford, PA� 19317"
40,7/28/2009,Worker was doing trash collection and was struck by oncoming traffic.,39.124801,-82.984685,"Pike Sanitation Company, Waverly, OH� 45690"
41,7/29/2009,Worker was run over by a pickup truck.,40.7562117,-73.8460752,"Aramark Corporation, Flushing, NY� 11371"
42,7/29/2009,"Worker was stationary, being handed scaffold material from another employee� Worker collapsed after complaining about being ""woozy.""",30.3482127,-90.9972176,"Basic Industries, Baton Rouge, LA� 70817"
43,7/29/2009,"Worker was standing between a sewer bypass pump and an excavator.� The machine turned, crushing him between the excavator and the pump.",30.0014974,-90.27705069999999,"BLD Services, LLC, New Orleans, LA� 70126"
44,7/30/2009,Worker was working on a pump in a magnesium recycling area.� He was in the process of turning a shaft with a pipe wrench to free up a vertical propeller when the hose connected to the pump either split or broke open.� The force of the steam blew him against a metal cage.,41.4319588,-81.6001873,"Garfield Alloys, Garfield Hts., OH� 44125"
