,Company,"Company, City, State, ZIP",Fatality or Catastrophe,Inspection #,Preliminary Description of Incident,Summary Report Date,Unnamed: 4,Victim(s),date,place,lat,lng
0,"L.B. Thompson Inc., Tampa, FL 33610",,,,"Victim was inside a building bundling material and became ill, possible heat stroke.",7/24/2009,,,6/23/2009,"L.B. Thompson Inc., Tampa, FL 33610",27.994928,-82.400987
1,"Presiliana Zamora, Conroe, TX 77304",,,,Victim was on a scaffold doing repairs on an archway and the scaffold collapsed.,7/24/2009,,,6/30/2009,"Presiliana Zamora, Conroe, TX 77304",30.3315253,-95.509247
2,"Cesar Tapia, Miami, FL 33166",,,,"Victim was conducting roofing work, and fell through a hole in the roof, 25 feet to the concrete floor below.",7/24/2009,,,7/6/2009,"Cesar Tapia, Miami, FL 33166",25.8235041,-80.3101684
3,"Knobel Refrigeration, Inc., North Platte, NE 69103",,,,Victim was climbing a ladder while servicing an air-conditioning unit and fell from the ladder.,7/24/2009,,,7/9/2009,"Knobel Refrigeration, Inc., North Platte, NE 69103",41.1429537,-100.7909899
4,"Greensburg, PA 15601",,,,"Employees were throwing away old files. They had a dumpster on the forks in the raised position. In bringing the dumpster down on the forks, the load became unstable. Victim stood on the rear of the forklift to act as a counterbalance. The dumpster fell off the trucs, causing forktruck to lunge forward and the victim to strike his head on the overhead guard, falling to the ground.",7/24/2009,,,7/11/2009,"Greensburg, PA 15601",40.3014581,-79.5389289
5,"Lighthouse Electric, Boulder, CO 80301",,,,Fatality at a bookstore under construction.,7/24/2009,,,7/11/2009,"Lighthouse Electric, Boulder, CO 80301",40.04065060000001,-105.2077798
6,"Priority Energy Services, LLC, Raleigh, MS 39153",,,,"Victim was pressure testing a new metering station at a new pipeline construction project, when an explosion occurred.",7/24/2009,,,7/15/2009,"Priority Energy Services, LLC, Raleigh, MS 39153",32.033488,-89.52229109999999
7,"KM Davis Contracting Co., Inc., Marietta, GA 30008",,,,Victim was standing on the side of the road and was struck by a car.,7/24/2009,,,7/16/2009,"KM Davis Contracting Co., Inc., Marietta, GA 30008",33.8821589,-84.5277421
8,"Jenkins Electric, Post, TX 79356",,,,"Victim was working on a pole replacing a transformer, 14,400KV, and was electrocuted.",7/24/2009,,,7/18/2009,"Jenkins Electric, Post, TX 79356",33.1910445,-101.3756533
9,"Lariat Communications, De Kalb, TX 75559",,,,Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.,7/24/2009,,,7/18/2009,"Lariat Communications, De Kalb, TX 75559",33.5087256,-94.61631899999999
10,"Larry Walty Roofing and Guttering, Inc,, Wichita, KS 67208",,,,Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.,7/24/2009,,,7/18/2009,"Larry Walty Roofing and Guttering, Inc,, Wichita, KS 67208",37.683359,-97.077559
11,"Newohmer Brothers Feed Lot, Elgin, NE 68636",,,,Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.,7/24/2009,,,7/18/2009,"Newohmer Brothers Feed Lot, Elgin, NE 68636",41.9866138,-98.13309
12,"Art Iron Works, Inc., Onconta, AL 35121",,,,"Victim was in the process of assembling a transition box, while removing the brace the box collapsed, crushing him.",7/24/2009,,,7/20/2009,"Art Iron Works, Inc., Onconta, AL 35121",33.928402,-86.48487639999999
13,"Fort Smith Garage Doors, Kibler, AR 72921",,,,Victim was installing an overhead garage door. He was using a truck-mounted generator/welder to generate power for his tools. He was found unresponsive in the bed of the truck. Victim was electrocuted.,7/24/2009,,,7/21/2009,"Fort Smith Garage Doors, Kibler, AR 72921",35.386612,-94.4217199
14,"SES Welding, LLC, Holly Bill, FL 32117",,,,"Victim was working under a disabled truck, disconnecting the drive shaft. The vehicle fell, crushing him.",7/24/2009,,,7/21/2009,"SES Welding, LLC, Holly Bill, FL 32117",29.253303,-81.04840999999999
15,"Allens Inc,, Siloam Springs, AR 72761",,,,"Victim was repairing a tote at the end of the line. The top tote fell over, crushing the victim.",7/24/2009,,,7/22/2009,"Allens Inc,, Siloam Springs, AR 72761",36.205147,-94.428061
16,"Howie's Tree Services, Merrick, NY 11566",,,,Victim was working from the raised bucket of an aerial device. The boom and bucket fell to the ground.,7/24/2009,,,7/22/2009,"Howie's Tree Services, Merrick, NY 11566",40.6634699,-73.56334199999999
17,"Martin Product Sales, LLC, Beaumont, TX 77705",,,,Victim was on top of a railcar carrying elemental sulfur and was found unresponsive.,7/24/2009,,,7/23/2009,"Martin Product Sales, LLC, Beaumont, TX 77705",30.0441989,-94.1156211
18,"Green Contractors of NY, Merrick NY 11566",,,,Victim was working from a raised forklift and fell to the ground.,7/24/2009,,,7/24/2009,"Green Contractors of NY, Merrick NY 11566",40.6523845,-73.5593438
19,"Alvin Wynn Electric Company, Alapaha, GA�31622",,,,Worker was replacing a breaker in a main panel at a saw mill and an arc blast occurred.,7/31/2009,,,5/15/2009,"Alvin Wynn Electric Company, Alapaha, GA�31622",31.701254,-83.246291
20,"Lakeridge Winery, Clermont, FL�34711",,,,Worker was putting away a piece of lawn equipment and was stung twice by insects.,7/31/2009,,,7/1/2009,"Lakeridge Winery, Clermont, FL�34711",28.6273311,-81.7687658
